Customer_ID,Credit_Score,Category,Default_Probability,Predicted_Default,Actual_Default
14797,844.7859577856134,Excellent,0.0041657553623196866,0,0
19486,849.9706833184244,Excellent,0.0033011642760917685,0,0
3406,795.9849790460705,Excellent,0.01230367721573186,0,0
83549,844.3447753431301,Excellent,0.004239325776945765,0,0
53331,830.7522585510558,Excellent,0.006505977846271252,0,0
78399,833.1637891954786,Excellent,0.006103837388470976,0,1
65737,839.8744508838174,Excellent,0.004984785233885018,0,0
67393,838.8045752993942,Excellent,0.0051631948503268865,0,0
63005,839.9153896732515,Excellent,0.004977958389879163,0,0
57075,849.2893965876812,Excellent,0.003414773845361804,0,0
2838,300.0,Very Poor,0.12901059024759784,0,0
83190,850.0,Excellent,0.003275532539481484,0,1
45818,837.406103152512,Excellent,0.005396400358483626,0,0
25267,844.2647914050622,Excellent,0.004252663686437283,0,0
61995,819.647698937797,Excellent,0.008357744771511872,0,0
81675,300.0,Very Poor,0.23628722729380855,0,0
42386,781.706058490814,Excellent,0.014684792157092683,0,0
64532,817.2987983037613,Excellent,0.00874944121479908,0,0
38125,819.1727810124232,Excellent,0.008436940825839059,0,0
14133,850.0,Excellent,0.002858017129395603,0,0
40065,817.5602470945101,Excellent,0.008705842707499876,0,0
69759,777.1964906317827,Excellent,0.015436795739342967,0,0
42766,729.5573399765133,Good,0.023380974221185097,0,0
81885,789.7762269473997,Excellent,0.013339032257602185,0,0
65624,846.4905801135385,Excellent,0.0038814970615123744,0,0
33576,837.9688183476364,Excellent,0.005302563464185024,0,0
17165,804.446631203365,Excellent,0.010892634532052598,0,0
42733,614.7080251110331,Poor,0.04253294152662525,0,0
68916,841.2577922180129,Excellent,0.00475410289994331,0,0
83180,848.803270263833,Excellent,0.0034958389825074415,0,0
69516,404.7170123699182,Very Poor,0.07755048616905219,0,0
42504,835.934449314121,Excellent,0.005641809451526989,0,0
56959,734.4557602167155,Good,0.02256412664661714,0,0
65144,850.0,Excellent,0.0032467025280715394,0,0
26043,850.0,Excellent,0.0028897245964022763,0,0
24755,300.0,Very Poor,0.1768573323966162,0,0
61170,847.5590337589588,Excellent,0.003703324563849371,0,0
44098,792.6016020782054,Excellent,0.012867880190267921,0,0
32715,837.0760294527357,Excellent,0.005451442573701931,0,0
62020,814.047027827069,Excellent,0.009291697839728443,0,0
21305,846.8832578165941,Excellent,0.0038160151686573423,0,0
3901,833.9246004400982,Excellent,0.005976966522069789,0,0
48895,830.7606708712713,Excellent,0.006504575030051417,0,0
62609,836.2238493911433,Excellent,0.005593549861821862,0,0
49164,796.4853003840115,Excellent,0.012220244955664107,0,0
24429,831.0386967300128,Excellent,0.006458212174836106,0,0
74266,815.55161447931,Excellent,0.009040796957945452,0,0
83101,806.9576175299171,Excellent,0.010473909108336652,0,0
4693,631.3297874223992,Poor,0.03976114050439934,0,1
7438,844.861145479035,Excellent,0.004153217261871549,0,0
10898,822.9058976073392,Excellent,0.007814416198182648,0,0
876,536.4555539985495,Very Poor,0.05558211617839885,0,0
27578,704.6622743851192,Good,0.02753240936759077,0,0
15464,790.6987144430298,Excellent,0.01318520068815243,0,0
52417,828.946725445328,Excellent,0.006807063760891562,0,0
43085,362.0234978266402,Very Poor,0.08466994348270619,0,1
56482,838.9603135271309,Excellent,0.005137224356299018,0,0
27480,846.7844051304442,Excellent,0.00383249958056189,0,0
5144,757.4342973474083,Excellent,0.018732286706001626,0,0
44175,810.9229610618489,Excellent,0.009812658932248558,0,0
43293,812.8340788509504,Excellent,0.009493965995711777,0,0
56445,842.6948143554444,Excellent,0.004514468897550545,0,0
7472,631.6127346076106,Poor,0.03971395698182735,0,0
48400,825.4325710918431,Excellent,0.007393074825590035,0,0
29025,844.1756333059487,Excellent,0.004267531454705955,0,0
6760,300.0,Very Poor,0.11012678364682682,0,0
76376,723.9357361555686,Good,0.024318417972669152,0,0
77529,829.2264592353739,Excellent,0.006760416095579303,0,0
24134,824.8628544943325,Excellent,0.0074880792551913,0,0
7224,801.3754576597978,Excellent,0.01140477529113874,0,0
64781,821.7996324520791,Excellent,0.007998894042996127,0,0
76859,815.2818484900483,Excellent,0.00908578241922148,0,0
64206,725.568612836797,Good,0.024046123785722268,0,0
72058,843.6088988089075,Excellent,0.004362038597137856,0,0
45414,772.1534438779518,Excellent,0.016277760847949005,0,0
43713,300.0,Very Poor,0.17255165312010778,0,0
34309,646.7241069674844,Poor,0.03719402458418427,0,0
25144,806.3499717508918,Excellent,0.010575238507704985,0,0
45316,840.4287990932835,Excellent,0.0048923435959356935,0,0
34399,823.4110002427794,Excellent,0.007730186621618139,0,0
33051,833.3646951027595,Excellent,0.0060703348519323625,0,0
59058,825.6530699191312,Excellent,0.007356305025647782,0,0
66019,799.7338695684545,Excellent,0.011678522169744266,0,0
50341,836.6626707679543,Excellent,0.0055203731722486115,0,0
46660,809.4295029427957,Excellent,0.010061704049336567,0,0
31295,667.4640290203984,Fair,0.033735490159838545,0,0
72641,818.1921939230361,Excellent,0.008600460929533846,0,0
78917,817.3034588852942,Excellent,0.008748664028576878,0,0
70099,829.2918420014469,Excellent,0.0067495130388250165,0,0
23731,842.4692366249534,Excellent,0.0045520856419278164,0,0
38197,830.2337510313123,Excellent,0.006592442785808609,0,0
35421,719.7652716389466,Good,0.025013873580431324,0,0
80296,790.0572889220723,Excellent,0.013292163107742318,0,0
11592,804.8340343265417,Excellent,0.010828032214156359,0,0
